Timestamp,Sugar(%),Flour(%),Egg(%),Butter(%),Milk(%),Moisture(%),Density(g/cm3),Volume(mL),Springiness,Cohesiveness,Hardness(gf),Chewiness(mJ),Anomaly_Status
2020-02-24,30.15,35.53,28.85,9.95,9.9,5.0,0.403,513.73,0.679,0.495,396.23,1.33,Anomaly
2020-02-25,29.66,34.39,23.73,15.36,11.01,5.0,0.355,393.22,0.878,0.506,340.76,1.51,Anomaly
2020-02-26,20.8,37.83,15.95,16.98,9.36,5.0,0.339,475.46,0.882,0.678,206.94,1.24,Anomaly
2020-02-27,23.45,38.83,16.03,14.69,7.94,5.0,0.37,419.2,0.672,0.794,390.31,2.08,Anomaly
2020-02-28,26.66,31.86,21.45,13.86,9.75,5.0,0.464,530.85,0.718,0.557,394.54,1.58,Normal
2020-02-29,29.88,29.68,21.64,14.6,10.62,5.0,0.262,411.48,0.647,0.442,301.13,0.86,Anomaly
2020-03-01,22.6,27.66,21.65,14.07,8.69,7.5,0.389,507.17,0.626,0.632,379.38,1.5,Anomaly
2020-03-02,24.07,37.03,19.24,11.63,9.53,5.0,0.304,459.24,0.947,0.774,266.9,1.96,Anomaly
2020-03-03,19.47,30.59,19.62,13.21,8.12,7.64,0.349,462.61,0.829,0.511,188.03,0.8,Anomaly
2020-03-04,19.02,26.39,20.98,16.3,12.24,6.99,0.338,351.48,0.79,0.51,254.38,1.02,Anomaly
2020-03-05,29.06,36.55,20.26,15.8,9.41,5.0,0.329,339.85,0.868,0.874,403.76,3.06,Normal
2020-03-06,31.78,44.97,13.34,15.42,12.91,5.0,0.349,438.97,0.894,0.877,210.54,1.65,Anomaly
2020-03-07,24.64,34.98,19.31,12.51,13.06,5.0,0.293,462.35,0.882,0.895,299.97,2.37,Anomaly
2020-03-08,30.02,38.35,17.45,14.55,9.84,5.0,0.401,393.74,0.606,0.804,302.05,1.47,Normal
2020-03-09,26.81,35.33,20.53,9.56,7.98,5.0,0.26,395.57,0.665,0.494,269.22,0.88,Anomaly
2020-03-10,21.77,34.6,28.96,15.45,5.83,5.0,0.377,478.07,0.829,0.506,273.39,1.15,Anomaly
2020-03-11,26.81,38.68,21.1,18.57,7.06,5.0,0.334,478.14,0.732,0.57,304.33,1.27,Anomaly
2020-03-12,32.69,33.84,19.06,11.31,7.25,5.0,0.291,443.11,0.944,0.559,266.27,1.41,Anomaly
2020-03-13,24.82,36.07,22.77,13.54,12.76,5.0,0.36,489.01,0.833,0.878,214.68,1.57,Anomaly
2020-03-14,32.82,36.29,21.45,15.82,10.23,5.0,0.272,391.29,0.935,0.795,312.9,2.33,Anomaly
2020-03-15,11.9,32.33,21.26,18.13,10.78,5.0,0.352,432.2,0.671,0.762,364.4,1.86,Anomaly
2020-03-16,29.11,38.97,21.82,13.88,5.56,5.0,0.279,532.39,0.902,0.493,352.17,1.57,Anomaly
2020-03-17,25.44,34.3,26.17,13.27,7.6,5.0,0.373,453.42,0.712,0.855,251.42,1.53,Anomaly
2020-03-18,23.5,31.98,16.61,10.08,11.77,6.32,0.304,456.32,0.946,0.814,224.93,1.73,Anomaly
2020-03-19,25.46,37.15,21.42,15.26,10.57,5.0,0.327,565.3,0.655,0.482,282.95,0.89,Normal
2020-03-20,15.06,31.41,17.22,20.11,9.71,5.17,0.365,380.03,0.781,0.836,394.07,2.57,Anomaly
2020-03-21,23.9,35.11,21.67,15.69,11.13,5.0,0.311,489.82,0.877,0.536,338.74,1.59,Normal
2020-03-22,26.79,34.96,17.24,14.94,13.27,5.0,0.347,533.2,0.751,0.44,342.24,1.13,Anomaly
2020-03-23,32.39,39.34,18.75,15.81,9.56,5.0,0.274,433.76,0.764,0.728,353.39,1.97,Anomaly
2020-03-24,22.41,36.9,19.11,14.97,10.14,5.0,0.382,492.98,0.945,0.727,325.25,2.23,Normal
2020-03-25,20.96,34.9,22.93,12.97,10.39,5.0,0.438,400.9,0.749,0.447,307.24,1.03,Normal
2020-03-26,22.49,38.27,22.76,17.06,14.78,5.0,0.49,415.66,0.811,0.559,339.74,1.54,Anomaly
2020-03-27,29.58,40.56,16.26,15.56,5.8,5.0,0.355,469.25,0.619,0.896,267.23,1.48,Anomaly
2020-03-28,26.64,37.23,20.16,15.04,11.37,5.0,0.389,489.93,0.895,0.739,215.13,1.42,Normal
2020-03-29,22.35,35.04,17.87,12.56,9.77,5.0,0.261,506.05,0.827,0.765,343.38,2.17,Normal
2020-03-30,27.57,29.75,16.22,18.26,11.13,5.0,0.425,528.48,0.741,0.506,374.26,1.4,Anomaly
2020-03-31,25.49,30.74,19.35,16.66,8.69,5.0,0.389,446.63,0.606,0.439,232.91,0.62,Anomaly
2020-04-01,29.84,33.78,19.07,13.62,9.9,5.0,0.326,509.68,0.807,0.538,349.32,1.52,Normal
2020-04-02,21.49,32.56,27.28,17.5,11.42,5.0,0.412,432.88,0.604,0.524,400.85,1.27,Anomaly
2020-04-03,23.36,34.25,21.3,13.76,16.23,5.0,0.337,495.1,0.6,0.517,299.87,0.93,Anomaly
2020-04-04,23.04,35.23,15.87,13.04,11.62,5.0,0.327,460.37,0.816,0.496,250.92,1.02,Anomaly
2020-04-05,17.68,37.12,18.31,13.1,8.3,5.0,0.374,472.28,0.666,0.687,307.38,1.41,Anomaly
2020-04-06,26.48,34.72,23.06,10.57,9.15,5.0,0.297,471.18,0.667,0.564,266.97,1.0,Anomaly
2020-04-07,26.31,36.95,26.27,16.18,9.09,5.0,0.401,369.76,0.829,0.81,263.0,1.77,Anomaly
2020-04-08,25.03,35.26,15.24,10.42,6.41,9.3,0.297,393.79,0.619,0.492,325.99,0.99,Anomaly
2020-04-09,23.83,27.1,14.36,11.93,9.34,12.18,0.297,455.13,0.71,0.632,203.78,0.91,Anomaly
2020-04-10,17.92,31.24,25.61,9.81,11.47,5.0,0.305,365.64,0.652,0.407,213.36,0.57,Anomaly
2020-04-11,22.9,34.42,21.17,14.78,7.45,5.0,0.388,491.56,0.803,0.641,301.16,1.55,Anomaly
2020-04-12,23.29,30.16,17.4,14.62,12.1,5.0,0.319,493.58,0.832,0.428,298.66,1.06,Anomaly
2020-04-13,20.99,37.4,21.6,14.18,10.98,5.0,0.283,466.36,0.852,0.889,320.61,2.43,Normal
2020-04-14,24.19,41.12,12.09,12.39,8.53,5.0,0.32,393.94,0.689,0.795,412.51,2.26,Anomaly
2020-04-15,27.02,39.88,20.01,12.07,9.72,5.0,0.348,519.01,0.631,0.645,306.27,1.25,Anomaly
2020-04-16,34.43,34.15,20.98,16.16,13.2,5.0,0.291,551.86,0.628,0.443,335.89,0.93,Anomaly
2020-04-17,25.87,40.96,22.77,13.62,11.47,5.0,0.292,457.35,0.749,0.696,241.47,1.26,Anomaly
2020-04-18,26.29,35.59,16.96,15.79,10.02,5.0,0.456,475.53,0.931,0.779,346.08,2.51,Anomaly
2020-04-19,24.63,33.65,20.26,12.79,9.52,5.0,0.307,460.09,0.676,0.495,268.42,0.9,Normal
2020-04-20,15.41,32.55,17.22,15.45,10.15,8.79,0.334,476.52,0.69,0.684,304.29,1.44,Anomaly
2020-04-21,24.87,33.79,20.77,18.26,8.98,5.0,0.332,444.02,0.635,0.807,293.47,1.5,Anomaly
2020-04-22,25.3,33.45,17.31,16.47,5.79,5.0,0.329,448.27,0.812,0.784,361.98,2.3,Anomaly
2020-04-23,37.32,35.68,18.78,13.97,14.08,5.0,0.381,495.29,0.838,0.801,221.4,1.49,Anomaly
2020-04-24,24.04,35.64,17.01,15.64,10.31,5.0,0.397,567.28,0.825,0.84,163.01,1.13,Normal
2020-04-25,26.51,35.01,21.95,14.4,10.8,5.0,0.335,380.0,0.901,0.869,287.19,2.25,Normal
2020-04-26,24.83,36.75,22.58,15.02,9.88,5.0,0.288,444.81,0.77,0.603,328.11,1.52,Normal
2020-04-27,19.16,39.76,19.3,14.19,8.53,5.0,0.414,390.98,0.647,0.684,309.14,1.37,Anomaly
2020-04-28,30.71,38.8,20.11,14.59,9.63,5.0,0.345,529.6,0.701,0.795,373.93,2.08,Anomaly
2020-04-29,28.76,29.06,15.65,15.53,6.8,6.21,0.437,420.61,0.832,0.749,326.24,2.03,Anomaly
2020-04-30,28.96,24.78,19.1,12.52,14.55,5.0,0.238,377.84,0.815,0.898,266.17,1.95,Anomaly
2020-05-01,20.45,38.74,19.85,12.46,7.53,5.0,0.36,481.91,0.786,0.407,160.47,0.51,Anomaly
2020-05-02,32.01,29.53,27.86,11.53,7.94,5.0,0.446,537.22,0.839,0.578,285.76,1.39,Anomaly
2020-05-03,17.99,34.1,16.66,11.0,9.12,11.73,0.332,483.18,0.823,0.541,361.68,1.61,Anomaly
2020-05-04,27.93,30.32,24.39,11.96,12.58,5.0,0.339,460.24,0.908,0.531,276.48,1.33,Anomaly
2020-05-05,35.95,27.79,22.99,15.4,10.03,5.0,0.365,470.46,0.805,0.511,301.7,1.24,Anomaly
2020-05-06,20.05,37.17,20.84,12.77,7.53,5.0,0.322,520.74,0.873,0.755,325.28,2.14,Anomaly
2020-05-07,22.17,38.04,25.28,16.28,12.51,5.0,0.334,406.29,0.687,0.442,239.08,0.73,Anomaly
2020-05-08,25.5,32.69,21.12,15.09,11.46,5.0,0.333,444.41,0.837,0.771,337.39,2.18,Normal
2020-05-09,22.48,24.64,21.17,10.08,11.08,9.89,0.319,427.37,0.916,0.747,398.23,2.72,Anomaly
2020-05-10,17.25,32.82,19.84,16.64,11.43,5.0,0.411,391.61,0.735,0.525,289.63,1.12,Anomaly
2020-05-11,25.34,36.57,23.67,17.03,14.79,5.0,0.373,433.58,0.873,0.526,232.26,1.07,Anomaly
2020-05-12,19.69,29.08,23.29,12.52,14.37,5.0,0.363,505.39,0.854,0.714,296.0,1.8,Anomaly
2020-05-13,27.37,35.73,18.12,16.05,8.63,5.0,0.39,478.33,0.621,0.781,166.54,0.81,Normal
2020-05-14,20.4,34.94,16.04,12.86,13.25,5.0,0.337,482.22,0.804,0.838,320.21,2.16,Anomaly
2020-05-15,32.75,37.32,19.39,15.24,10.77,5.0,0.311,457.32,0.646,0.826,327.14,1.75,Anomaly
2020-05-16,21.08,35.48,17.6,11.84,11.0,5.0,0.32,476.17,0.939,0.882,400.54,3.32,Anomaly
2020-05-17,23.39,31.11,19.81,10.52,6.62,10.49,0.35,409.97,0.884,0.691,288.36,1.76,Anomaly
2020-05-18,29.07,39.79,23.71,14.04,9.66,5.0,0.297,434.52,0.638,0.854,324.51,1.77,Anomaly
2020-05-19,18.85,34.37,18.63,14.69,8.37,6.08,0.325,459.6,0.643,0.804,248.32,1.28,Anomaly
2020-05-20,26.14,34.89,19.87,14.01,11.66,5.0,0.324,463.88,0.808,0.847,278.61,1.91,Normal
2020-05-21,31.54,31.27,20.17,12.04,12.14,5.0,0.456,466.01,0.721,0.406,208.49,0.61,Anomaly
2020-05-22,16.96,33.23,22.55,14.0,5.85,7.23,0.211,443.08,0.612,0.883,288.31,1.56,Anomaly
2020-05-23,25.92,31.46,13.26,15.67,9.96,5.0,0.341,431.13,0.79,0.637,281.68,1.42,Anomaly
2020-05-24,26.3,34.31,18.18,14.89,12.24,5.0,0.436,607.89,0.736,0.799,317.95,1.87,Anomaly
2020-05-25,28.91,41.85,20.63,15.46,9.63,5.0,0.356,495.34,0.635,0.464,262.58,0.77,Anomaly
2020-05-26,18.82,29.51,23.6,13.32,11.46,5.11,0.388,470.66,0.881,0.598,305.0,1.61,Anomaly
2020-05-27,18.4,28.55,18.52,17.93,10.7,5.53,0.355,438.34,0.92,0.536,280.0,1.38,Anomaly
2020-05-28,27.61,40.88,14.37,12.06,10.68,5.0,0.317,427.44,0.865,0.546,280.11,1.32,Anomaly
2020-05-29,26.48,34.16,21.86,16.22,9.46,5.0,0.238,443.46,0.888,0.462,304.82,1.25,Normal
2020-05-30,26.25,32.32,18.09,17.95,7.57,5.0,0.36,464.64,0.676,0.803,302.43,1.64,Anomaly
2020-05-31,26.73,39.16,16.43,16.2,7.76,5.0,0.311,355.98,0.692,0.405,345.67,0.97,Anomaly
2020-06-01,21.6,32.58,18.13,14.49,11.42,5.0,0.31,371.53,0.673,0.556,292.76,1.1,Normal
2020-06-02,26.16,42.3,19.45,13.68,10.04,5.0,0.325,418.16,0.868,0.487,279.01,1.18,Anomaly
2020-06-03,26.47,37.71,18.19,17.59,9.72,5.0,0.437,460.36,0.932,0.695,289.15,1.87,Anomaly
2020-06-04,21.43,33.05,13.38,11.44,9.15,10.32,0.47,438.04,0.851,0.527,257.12,1.15,Anomaly
2020-06-05,34.33,43.63,22.69,12.57,9.39,5.0,0.361,523.91,0.909,0.529,278.41,1.34,Anomaly
2020-06-06,27.37,32.58,23.82,14.01,12.09,5.0,0.327,375.88,0.824,0.644,421.87,2.24,Anomaly
2020-06-07,19.04,37.97,21.95,18.09,9.33,5.0,0.291,412.43,0.736,0.726,245.24,1.31,Anomaly
2020-06-08,28.28,36.2,16.59,15.95,7.32,5.0,0.373,526.0,0.749,0.461,283.28,0.98,Anomaly
2020-06-09,20.13,40.21,19.4,12.58,11.49,5.0,0.439,456.56,0.626,0.488,276.75,0.85,Anomaly
2020-06-10,28.94,41.25,19.98,14.22,9.59,5.0,0.338,494.24,0.611,0.524,285.17,0.91,Anomaly
2020-06-11,30.79,35.13,21.8,13.46,10.06,5.0,0.231,552.56,0.843,0.887,280.13,2.09,Anomaly
2020-06-12,20.9,31.99,22.01,13.23,13.22,5.0,0.384,415.31,0.753,0.599,316.75,1.43,Anomaly
2020-06-13,29.82,36.84,17.8,17.45,9.96,5.0,0.399,445.03,0.793,0.699,197.39,1.09,Anomaly
2020-06-14,27.06,32.29,20.25,11.57,10.58,5.0,0.271,436.38,0.795,0.521,362.23,1.5,Anomaly
2020-06-15,29.11,43.05,21.37,19.02,7.64,5.0,0.359,352.27,0.697,0.645,337.95,1.52,Anomaly
2020-06-16,34.48,35.55,24.37,17.07,9.56,5.0,0.373,434.48,0.767,0.437,225.43,0.76,Anomaly
2020-06-17,23.77,33.54,22.11,17.73,11.22,5.0,0.346,494.05,0.765,0.417,163.86,0.52,Anomaly
2020-06-18,21.23,35.74,22.37,13.84,6.89,5.0,0.31,477.03,0.736,0.634,241.38,1.13,Anomaly
2020-06-19,20.55,29.61,20.25,14.63,10.4,5.0,0.401,480.95,0.887,0.599,285.44,1.52,Anomaly
2020-06-20,20.92,31.11,24.23,11.42,10.2,5.0,0.33,431.22,0.758,0.468,454.82,1.61,Anomaly
2020-06-21,24.61,39.8,21.23,13.69,10.08,5.0,0.276,417.2,0.811,0.744,332.6,2.01,Anomaly
2020-06-22,26.71,32.37,17.42,16.23,12.07,5.0,0.248,513.46,0.913,0.896,191.54,1.57,Anomaly
2020-06-23,26.38,30.81,24.21,18.24,10.67,5.0,0.413,425.13,0.903,0.598,258.62,1.4,Anomaly
2020-06-24,29.14,37.15,22.09,12.23,12.96,5.0,0.381,464.7,0.912,0.712,296.81,1.93,Anomaly
2020-06-25,25.07,39.74,18.67,14.09,8.01,5.0,0.354,458.17,0.695,0.881,315.22,1.93,Anomaly
2020-06-26,32.27,37.88,18.56,14.62,10.27,5.0,0.328,523.09,0.612,0.816,221.12,1.1,Anomaly
2020-06-27,23.68,38.98,20.89,11.51,10.17,5.0,0.324,498.57,0.691,0.632,291.9,1.27,Anomaly
2020-06-28,38.6,31.97,21.39,16.48,7.86,5.0,0.296,385.24,0.698,0.769,256.94,1.38,Anomaly
2020-06-29,28.13,29.31,20.59,13.19,11.91,5.0,0.328,390.62,0.918,0.464,233.77,1.0,Anomaly
2020-06-30,20.71,41.01,20.93,14.51,14.65,5.0,0.244,478.95,0.827,0.656,315.58,1.71,Anomaly
2020-07-01,19.65,33.71,25.1,13.87,9.97,5.0,0.313,446.78,0.629,0.54,346.43,1.18,Anomaly
2020-07-02,27.41,34.0,23.21,13.03,11.01,5.0,0.334,427.24,0.647,0.481,350.46,1.09,Anomaly
2020-07-03,23.88,40.31,20.57,14.98,10.17,5.0,0.38,500.78,0.654,0.613,334.46,1.34,Anomaly
2020-07-04,28.57,37.22,22.82,14.46,8.57,5.0,0.348,459.37,0.821,0.466,270.16,1.03,Normal
2020-07-05,27.37,36.82,16.9,14.07,6.36,5.0,0.39,452.62,0.857,0.749,342.87,2.2,Anomaly
2020-07-06,24.64,43.66,21.19,13.18,8.59,5.0,0.417,488.99,0.901,0.628,318.54,1.8,Anomaly
2020-07-07,20.77,32.43,25.43,15.8,7.22,5.0,0.403,431.24,0.929,0.666,308.04,1.91,Anomaly
2020-07-08,17.43,38.71,19.35,19.13,13.41,5.0,0.374,528.43,0.671,0.473,263.3,0.84,Anomaly
2020-07-09,22.77,35.23,17.46,15.35,9.77,5.0,0.351,410.6,0.708,0.47,270.19,0.9,Normal
2020-07-10,29.28,36.07,18.04,17.49,9.31,5.0,0.301,482.85,0.684,0.692,304.43,1.44,Anomaly
2020-07-11,26.07,41.11,16.73,11.52,11.78,5.0,0.387,521.69,0.726,0.893,446.39,2.89,Anomaly
2020-07-12,18.77,37.03,17.65,15.39,7.76,6.01,0.434,381.14,0.92,0.448,318.07,1.31,Anomaly
2020-07-13,25.87,37.15,18.89,12.26,8.47,5.0,0.367,432.83,0.801,0.543,263.33,1.15,Anomaly
2020-07-14,26.93,39.29,15.78,11.31,10.14,5.0,0.446,507.11,0.858,0.835,250.06,1.79,Anomaly
2020-07-15,20.58,33.54,20.05,13.15,12.06,5.0,0.274,507.86,0.772,0.436,270.49,0.91,Anomaly
2020-07-16,25.77,31.64,22.71,17.98,11.0,5.0,0.292,441.43,0.61,0.838,430.64,2.2,Anomaly
2020-07-17,25.29,30.82,17.28,17.38,10.5,5.0,0.393,413.27,0.622,0.662,276.04,1.14,Anomaly
2020-07-18,19.29,27.13,24.56,15.61,10.16,5.0,0.363,497.8,0.788,0.604,354.41,1.69,Anomaly
2020-07-19,26.79,43.22,21.53,11.17,10.8,5.0,0.416,509.18,0.852,0.555,277.44,1.31,Anomaly
2020-07-20,27.8,30.59,23.09,14.51,10.4,5.0,0.349,391.77,0.675,0.549,315.67,1.17,Anomaly
2020-07-21,30.42,34.11,18.03,15.75,7.94,5.0,0.307,389.8,0.853,0.553,347.5,1.64,Anomaly
2020-07-22,30.27,33.89,22.56,15.44,10.09,5.0,0.339,461.26,0.884,0.842,265.69,1.98,Anomaly
2020-07-23,18.11,36.23,16.72,10.39,7.85,10.47,0.273,481.47,0.744,0.762,261.53,1.48,Anomaly
2020-07-24,20.31,38.26,22.67,12.77,10.16,5.0,0.294,435.05,0.861,0.735,399.53,2.53,Normal
2020-07-25,27.58,38.44,20.52,14.84,9.04,5.0,0.399,483.96,0.741,0.799,359.08,2.13,Normal
2020-07-26,27.57,32.67,21.66,16.34,15.08,5.0,0.394,414.49,0.837,0.529,347.44,1.54,Anomaly
2020-07-27,27.58,34.33,16.47,9.51,9.92,5.0,0.368,344.27,0.867,0.709,347.24,2.13,Anomaly
2020-07-28,44.26,36.13,17.31,14.59,7.19,5.0,0.264,428.8,0.947,0.63,327.57,1.95,Anomaly
2020-07-29,27.85,34.01,21.79,15.36,9.73,5.0,0.332,453.16,0.721,0.791,421.07,2.4,Normal
2020-07-30,30.68,41.43,17.15,17.12,11.04,5.0,0.289,436.21,0.744,0.555,302.63,1.25,Anomaly
2020-07-31,29.77,36.96,21.39,16.73,13.35,5.0,0.409,392.07,0.658,0.722,334.64,1.59,Anomaly
2020-08-01,28.26,37.94,15.9,16.46,8.82,5.0,0.321,359.22,0.671,0.841,212.95,1.2,Anomaly
2020-08-02,23.42,37.65,22.54,13.0,6.84,5.0,0.296,424.3,0.843,0.601,250.5,1.27,Anomaly
2020-08-03,28.79,39.69,16.3,10.23,11.63,5.0,0.351,494.88,0.921,0.433,227.95,0.91,Anomaly
2020-08-04,21.14,35.72,21.66,14.02,7.24,5.0,0.318,512.81,0.738,0.658,376.44,1.83,Anomaly
2020-08-05,23.82,29.81,21.88,17.5,9.13,5.0,0.424,509.39,0.663,0.573,146.85,0.56,Anomaly
2020-08-06,22.57,36.6,17.91,18.48,9.48,5.0,0.313,409.2,0.7,0.736,275.86,1.42,Anomaly
2020-08-07,25.41,32.39,21.75,16.78,9.86,5.0,0.28,392.31,0.759,0.876,120.38,0.8,Normal
2020-08-08,36.57,32.89,20.78,16.07,11.38,5.0,0.242,474.83,0.702,0.643,250.12,1.13,Anomaly
2020-08-09,15.66,37.35,18.38,15.95,8.63,5.0,0.348,481.76,0.682,0.633,270.54,1.17,Anomaly
2020-08-10,28.43,39.95,16.97,13.61,9.45,5.0,0.322,470.01,0.858,0.727,383.09,2.39,Anomaly
2020-08-11,16.94,35.09,14.11,14.67,9.97,10.69,0.279,349.3,0.603,0.452,323.8,0.88,Anomaly
2020-08-12,22.64,36.24,21.05,19.17,10.3,5.0,0.409,406.66,0.789,0.527,250.01,1.04,Anomaly
2020-08-13,30.44,41.81,15.31,12.64,10.2,5.0,0.383,448.52,0.878,0.859,363.96,2.74,Anomaly
2020-08-14,25.32,35.96,20.29,19.04,10.87,5.0,0.349,474.36,0.693,0.735,301.07,1.53,Anomaly
